Community_Name,Sector,Side,Per_capita_income,Percent_unemployed,Percent_without_diploma,Percent_households_below_poverty,Neighborhood,Ward,ZIP,Police_District,Unit_ID,Violation_ID,Issued_year,Time_of_day,License_plate_origin,Vehicle_type
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,29,60644,15,15,123,2003,Evening,In-state,PAS
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,24,60623,10,498,10,2010,Morning,In-state,PAS
Edgewater,Other N/NW Side,Far North Side,33385,9.2,9.7,18.2,A1,48,60640,20,498,113,2013,Midday,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,46,60613,19,498,113,2006,Midday,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,46,60657,19,498,53,2017,Midday,In-state,PAS
Edison Park,Other N/NW Side,Far North Side,40959,6.5,7.4,3.3,EP,41,60631,16,498,6,2016,Morning,In-state,PAS
Woodlawn,Other S/SE/SW Side,South Side,18672,23.4,16.5,30.7,W1,20,60637,3,16,10,2014,AfterWork,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,17,44,2003,Overnight,Out-of-state,PAS
Brighton Park,Other S/SE/SW Side,Southwest Side,13089,13.9,45.1,23.6,BP,12,60632,9,9,123,2003,Morning,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,B2,44,60657,19,502,178,2007,Overnight,Out-of-state,PAS
Englewood,Other S/SE/SW Side,Southwest Side,11888,28,28.5,46.6,E2,16,60621,7,0,105,1996,Midday,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,42,60601,1,0,79,1998,Midday,In-state,PAS
Englewood,Other S/SE/SW Side,Southwest Side,11888,28,28.5,46.6,E2,16,60621,7,7,154,2010,Evening,In-state,PAS
Rogers Park,Other N/NW Side,Far North Side,23939,8.7,18.2,23.6,RP,49,60645,24,24,123,2006,Midday,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,OT,27,60610,18,18,27,2006,AfterWork,In-state,PAS
Chicago Lawn,Other S/SE/SW Side,Southwest Side,13231,17.1,31.2,27.9,CL,15,60629,8,498,154,2005,Midday,In-state,PAS
New City,Other S/SE/SW Side,Southwest Side,12765,23,41.5,29,NC1,20,60609,9,0,123,1998,Morning,In-state,PAS
Uptown,Other N/NW Side,Far North Side,35787,8.9,11.8,24,U,46,60640,19,23,123,2008,Overnight,In-state,TMP
Near North Side,Near North Side,Central,88669,7,2.5,12.9,OT,27,60610,18,18,44,2015,Overnight,In-state,PAS
Hyde Park,Other S/SE/SW Side,South Side,39056,8.4,4.3,18.4,HP2,5,60637,2,0,6,1998,Morning,Out-of-state,PAS
Englewood,Other S/SE/SW Side,Southwest Side,11888,28,28.5,46.6,E2,16,60621,7,7,10,2008,Midday,In-state,PAS
Hyde Park,Other S/SE/SW Side,South Side,39056,8.4,4.3,18.4,HP2,5,60637,2,498,123,2009,Morning,In-state,PAS
Woodlawn,Other S/SE/SW Side,South Side,18672,23.4,16.5,30.7,W1,20,60637,3,253,65,2010,Overnight,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,Sa,43,60614,19,19,154,2002,Evening,In-state,PAS
Lower West Side,Other W Side,West Side,16444,15.8,40.7,25.8,LW,25,60616,12,498,154,2004,Morning,In-state,TRK
East Garfield Park,Other W Side,West Side,12961,19.6,21.3,42.4,GP1,27,60612,12,11,154,2010,Morning,In-state,PAS
Lincoln Square,Other N/NW Side,Far North Side,37524,8.2,13.4,10.9,LS1,47,60640,19,498,10,2011,Midday,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,37,60651,25,498,10,2016,Morning,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60603,1,1,125,2009,AfterWork,In-state,Other
Rogers Park,Other N/NW Side,Far North Side,23939,8.7,18.2,23.6,RP,49,60626,24,24,185,2013,Midday,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WP3,1,60622,14,502,26,2011,Morning,In-state,PAS
Belmont Cragin,Other N/NW Side,Northwest Side,15461,14.6,37.3,18.7,BC,31,60641,25,498,6,2009,Morning,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,GC2,2,60610,18,701,31,2018,Overnight,In-state,PAS
Portage Park,Other N/NW Side,Northwest Side,24336,12.6,19.3,11.6,PP,38,60641,16,18,28,1999,AfterWork,In-state,Other
Woodlawn,Other S/SE/SW Side,South Side,18672,23.4,16.5,30.7,W1,20,60637,3,3,10,2013,Evening,In-state,TMP
Englewood,Other S/SE/SW Side,Southwest Side,11888,28,28.5,46.6,E2,16,60621,7,7,185,2016,Morning,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WT,36,60612,12,12,155,2013,AfterWork,In-state,PAS
Albany Park,Other N/NW Side,Far North Side,21323,10,32.9,19.2,AP2,33,60625,17,498,8,2002,Morning,In-state,Other
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,28,60612,11,14,1,2012,AfterWork,In-state,PAS
Montclare,Other N/NW Side,Northwest Side,22014,13.8,23.5,15.3,M,36,60634,25,25,123,2007,AfterWork,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,LI,28,60612,11,498,10,2017,Morning,Out-of-state,PAS
Irving Park,Other N/NW Side,Northwest Side,27249,10,22.4,13.1,IP,30,60641,17,17,105,2002,AfterWork,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WP3,1,60622,14,502,113,2015,Evening,In-state,PAS
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,24,60623,10,14,10,2008,AfterWork,In-state,PAS
Irving Park,Other N/NW Side,Northwest Side,27249,10,22.4,13.1,IP,39,60641,17,498,154,2004,Midday,In-state,PAS
Garfield Ridge,Garfield Ridge (Midway),Southwest Side,26353,11.3,19.3,8.8,GR,23,60638,8,16,123,2000,Morning,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,37,60644,15,15,10,2006,Evening,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,42,60654,18,252,163,2009,Morning,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,498,113,2001,Midday,In-state,PAS
Hyde Park,Other S/SE/SW Side,South Side,39056,8.4,4.3,18.4,HP2,4,60615,2,502,113,2015,Midday,In-state,PAS
Armour Square,Other S/SE/SW Side,South Side,16148,16.7,34.5,40.1,C2,11,60616,9,498,123,2002,Midday,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,498,26,2011,Midday,In-state,Other
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,37,60644,15,15,105,2005,AfterWork,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,29,60644,15,15,10,2012,Morning,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,WL2,34,60661,1,1,52,2013,Overnight,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WP3,1,60622,14,502,10,2016,Midday,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,S,42,60611,18,729,79,2015,Evening,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,WL2,34,60607,12,498,154,2013,Morning,In-state,Other
Woodlawn,Other S/SE/SW Side,South Side,18672,23.4,16.5,30.7,W1,20,60637,3,3,154,2006,Evening,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,32,60657,19,502,113,2016,Morning,In-state,PAS
Mckinley Park,Other S/SE/SW Side,Southwest Side,16954,13.4,32.9,18.7,MP1,12,60608,9,9,179,2008,AfterWork,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,498,10,2015,Morning,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,Ra,42,60610,18,498,105,2005,AfterWork,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,LI,28,60608,12,14,110,2000,Evening,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60603,1,498,1,2018,Morning,In-state,TRK
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,24,60623,10,10,90,2008,Evening,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,LP,43,60614,19,498,1,2011,Morning,In-state,TRK
Chatham,Other S/SE/SW Side,Far Southeast Side,18881,24,14.5,27.8,C1,6,60619,6,6,123,2007,Overnight,In-state,PAS
Near South Side,Near South Side,Central,59077,4.9,7.4,13.8,NS,3,60605,1,1,143,1999,Morning,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,498,113,2002,Morning,In-state,PAS
Bridgeport,Other S/SE/SW Side,South Side,22694,13.7,22.2,18.9,B3,11,60609,9,502,123,2002,AfterWork,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,WL2,34,60607,12,498,113,2013,Midday,In-state,PAS
South Shore,Other S/SE/SW Side,South Side,19398,20,14,31.1,SS,7,60649,4,498,139,2016,Morning,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,LP,43,60614,19,498,6,2002,Morning,Out-of-state,PAS
West Elsdon,Other S/SE/SW Side,Southwest Side,15754,16.7,37,15.6,WE,23,60632,8,8,123,2008,Morning,In-state,PAS
Douglas,Other S/SE/SW Side,South Side,23791,18.2,14.3,29.6,D1,3,60616,2,498,6,2017,Morning,Out-of-state,PAS
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,24,60623,10,498,136,2003,Midday,In-state,PAS
Jefferson Park,Other N/NW Side,Far North Side,27751,12.4,13.4,8.6,JP2,45,60630,16,499,6,2012,Morning,In-state,PAS
Brighton Park,Other S/SE/SW Side,Southwest Side,13089,13.9,45.1,23.6,BP,14,60632,9,498,6,2004,Morning,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,42,60654,18,18,179,2014,Overnight,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,502,113,2007,AfterWork,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,LI,28,60612,12,498,6,2013,Morning,In-state,Other
Near North Side,Near North Side,Central,88669,7,2.5,12.9,GC2,2,60611,18,498,79,2006,Midday,In-state,PAS
Uptown,Other N/NW Side,Far North Side,35787,8.9,11.8,24,U,46,60640,19,19,6,2015,Morning,In-state,PAS
Brighton Park,Other S/SE/SW Side,Southwest Side,13089,13.9,45.1,23.6,BP,12,60632,9,17,12,2016,Evening,In-state,TRK
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,37,60644,15,15,154,2001,Midday,In-state,PAS
Woodlawn,Other S/SE/SW Side,South Side,18672,23.4,16.5,30.7,W1,20,60637,3,0,6,1999,Morning,In-state,PAS
Grand Boulevard,Other S/SE/SW Side,South Side,23472,24.3,15.9,29.3,GB,4,60615,2,2,10,2007,AfterWork,In-state,PAS
East Garfield Park,Other W Side,West Side,12961,19.6,21.3,42.4,GP1,27,60612,11,501,44,2012,Overnight,In-state,PAS
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,28,60612,11,14,163,2004,Overnight,Out-of-state,PAS
Irving Park,Other N/NW Side,Northwest Side,27249,10,22.4,13.1,IP,39,60641,17,17,10,2005,Midday,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,10,27,2007,AfterWork,In-state,PAS
Garfield Ridge,Garfield Ridge (Midway),Southwest Side,26353,11.3,19.3,8.8,GR,23,60638,8,498,6,2012,Morning,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,Sa,43,60614,18,502,44,2008,Overnight,Out-of-state,PAS
Belmont Cragin,Other N/NW Side,Northwest Side,15461,14.6,37.3,18.7,BC,30,60634,25,498,6,2016,Morning,In-state,PAS
Lower West Side,Other W Side,West Side,16444,15.8,40.7,25.8,LW,25,60608,12,18,6,2017,Morning,In-state,PAS
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,24,60623,10,10,123,2002,Overnight,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60603,1,495,65,2009,Midday,In-state,PAS
South Deering,Other S/SE/SW Side,Far Southeast Side,14685,16.3,21,29.2,SD,10,60617,4,4,123,2000,Morning,In-state,PAS
Washington Park,Other S/SE/SW Side,South Side,13785,28.6,25.4,42.1,WP2,20,60637,2,2,123,1999,AfterWork,In-state,PAS
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,24,60623,10,10,10,2009,Evening,In-state,TMP
West Lawn,Other S/SE/SW Side,Southwest Side,16907,9.6,33.6,14.9,WL1,13,60629,8,8,1,2013,Evening,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WT,36,60612,12,12,10,2014,Midday,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WT,36,60612,12,498,6,2007,Midday,In-state,PAS
East Side,Other S/SE/SW Side,Far Southeast Side,17104,12.1,31.9,19.2,ES,10,60617,4,498,1,2011,Midday,In-state,TRK
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,LP,43,60614,18,498,6,2017,Morning,In-state,PAS
Irving Park,Other N/NW Side,Northwest Side,27249,10,22.4,13.1,IP,33,60618,17,498,6,2014,Morning,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,PR,4,60605,1,498,79,2003,Morning,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60605,1,502,163,2009,Overnight,Out-of-state,PAS
Lower West Side,Other W Side,West Side,16444,15.8,40.7,25.8,LW,12,60608,10,498,10,2013,Morning,In-state,PAS
Lincoln Square,Other N/NW Side,Far North Side,37524,8.2,13.4,10.9,LS1,47,60625,19,729,113,2012,AfterWork,Out-of-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,25,60623,10,499,6,1999,Morning,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,0,113,1996,Midday,In-state,PAS
Chicago Lawn,Other S/SE/SW Side,Southwest Side,13231,17.1,31.2,27.9,CL,18,60629,8,498,154,2018,Morning,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,2,60610,18,18,44,2007,AfterWork,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,LP,43,60614,18,18,6,2004,Morning,Out-of-state,PAS
Jefferson Park,Other N/NW Side,Far North Side,27751,12.4,13.4,8.6,JP2,45,60630,16,18,123,2000,Morning,In-state,TRK
Chatham,Other S/SE/SW Side,Far Southeast Side,18881,24,14.5,27.8,C1,6,60619,6,498,28,2006,Midday,In-state,PAS
Near South Side,Near South Side,Central,59077,4.9,7.4,13.8,NS,3,60605,1,152,154,2001,Midday,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,LI,25,60607,12,498,1,2017,Morning,In-state,PAS
Lower West Side,Other W Side,West Side,16444,15.8,40.7,25.8,LW,25,60608,12,498,44,2017,Morning,In-state,TRK
West Town,West Town,West Side,43198,6.6,12.9,14.7,WP3,32,60622,14,14,6,2003,Morning,In-state,PAS
Hyde Park,Other S/SE/SW Side,South Side,39056,8.4,4.3,18.4,HP2,5,60615,2,498,90,2005,Midday,In-state,PAS
East Garfield Park,Other W Side,West Side,12961,19.6,21.3,42.4,GP1,28,60624,11,11,178,2017,AfterWork,In-state,PAS
Woodlawn,Other S/SE/SW Side,South Side,18672,23.4,16.5,30.7,W1,20,60637,3,3,10,2003,Morning,In-state,TMP
Albany Park,Other N/NW Side,Far North Side,21323,10,32.9,19.2,AP2,33,60625,17,502,44,2018,Midday,In-state,PAS
New City,Other S/SE/SW Side,Southwest Side,12765,23,41.5,29,NC1,15,60609,9,498,10,2009,Midday,In-state,PAS
Douglas,Other S/SE/SW Side,South Side,23791,18.2,14.3,29.6,D1,3,60653,2,0,6,1996,Morning,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,LP,43,60614,18,502,154,2007,Evening,In-state,PAS
Archer Heights,Other S/SE/SW Side,Southwest Side,16134,16.5,35.9,14.1,AH,14,60632,8,8,65,2010,Morning,In-state,TMP
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,24,60623,10,353,10,2004,AfterWork,In-state,PAS
Woodlawn,Other S/SE/SW Side,South Side,18672,23.4,16.5,30.7,W1,20,60637,3,3,127,2014,Midday,In-state,PAS
Near South Side,Near South Side,Central,59077,4.9,7.4,13.8,NS,3,60605,1,498,6,2001,Morning,Out-of-state,PAS
Rogers Park,Other N/NW Side,Far North Side,23939,8.7,18.2,23.6,RP,49,60626,24,498,155,2014,Morning,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WP3,1,60622,14,498,105,2003,Midday,In-state,TMP
Near South Side,Near South Side,Central,59077,4.9,7.4,13.8,NS,3,60605,1,252,79,2007,Morning,In-state,PAS
West Ridge,Other N/NW Side,Far North Side,23040,8.8,20.8,17.2,WR,50,60645,24,24,27,2011,Overnight,In-state,Other
Portage Park,Other N/NW Side,Northwest Side,24336,12.6,19.3,11.6,PP,45,60641,16,16,1,2008,AfterWork,In-state,PAS
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,24,60623,10,25,178,2016,Overnight,In-state,TMP
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,42,60611,18,502,1,2016,Evening,Out-of-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,WL2,28,60607,1,0,79,1998,Midday,In-state,PAS
Chatham,Other S/SE/SW Side,Far Southeast Side,18881,24,14.5,27.8,C1,6,60620,6,498,116,2017,Morning,In-state,TMP
Loop,Loop,Central,65526,5.7,3.1,14.7,L,42,60604,1,0,28,1998,Midday,In-state,PAS
Bridgeport,Other S/SE/SW Side,South Side,22694,13.7,22.2,18.9,B3,11,60616,9,9,123,1999,Midday,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,LI,28,60608,12,498,6,2011,Morning,In-state,TMP
Near South Side,Near South Side,Central,59077,4.9,7.4,13.8,NS,3,60616,1,502,113,2014,Evening,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,Ra,2,60610,18,502,185,2016,Evening,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60603,1,152,105,2001,Midday,In-state,PAS
North Park,Other N/NW Side,Far North Side,26576,9.9,14.4,13.2,NP1,39,60659,17,17,6,2000,Midday,In-state,PAS
Douglas,Other S/SE/SW Side,South Side,23791,18.2,14.3,29.6,D1,3,60616,2,498,185,2014,Morning,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,LP,32,60614,19,18,10,2003,Evening,In-state,TMP
Chicago Lawn,Other S/SE/SW Side,Southwest Side,13231,17.1,31.2,27.9,CL,16,60629,8,8,123,2002,Overnight,In-state,PAS
Hyde Park,Other S/SE/SW Side,South Side,39056,8.4,4.3,18.4,HP2,4,60615,2,498,26,2011,Midday,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,WL2,27,60607,12,12,6,1998,Midday,In-state,PAS
Chicago Lawn,Other S/SE/SW Side,Southwest Side,13231,17.1,31.2,27.9,CL,16,60629,8,498,44,2009,Midday,In-state,PAS
Garfield Ridge,Garfield Ridge (Midway),Southwest Side,26353,11.3,19.3,8.8,GR,23,60632,8,51,154,2012,Morning,In-state,PAS
Near South Side,Near South Side,Central,59077,4.9,7.4,13.8,MC,4,60605,1,1,10,2015,Midday,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,37,60651,15,15,169,2004,Overnight,In-state,PAS
New City,Other S/SE/SW Side,Southwest Side,12765,23,41.5,29,NC1,15,60609,9,9,144,2010,Morning,In-state,TRK
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,0,144,1996,Overnight,In-state,TRK
Loop,Loop,Central,65526,5.7,3.1,14.7,L,4,60604,1,502,79,2016,Evening,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,LI,27,60612,12,496,113,2001,Evening,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60603,1,152,123,2002,Midday,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,WL2,34,60661,1,729,79,2012,Midday,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,27,60642,18,0,154,1997,Evening,In-state,PAS
West Ridge,Other N/NW Side,Far North Side,23040,8.8,20.8,17.2,WR,50,60645,24,498,113,2001,Midday,In-state,PAS
Roseland,Other S/SE/SW Side,Far Southeast Side,17949,20.3,16.9,19.8,R2,9,60628,5,5,135,2016,Midday,In-state,PAS
South Shore,Other S/SE/SW Side,South Side,19398,20,14,31.1,SS,8,60649,4,4,123,2004,Overnight,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,LP,2,60614,18,18,123,2004,Overnight,In-state,PAS
Hermosa,Other N/NW Side,Northwest Side,15089,13.1,41.6,20.5,H2,35,60639,25,498,6,2010,Midday,In-state,Other
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60607,1,18,113,2007,Midday,In-state,Other
Lower West Side,Other W Side,West Side,16444,15.8,40.7,25.8,LW,25,60608,12,495,10,2012,Morning,Out-of-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,37,60651,25,498,10,2009,Midday,In-state,PAS
Logan Square,Logan Square,North Side,31908,8.2,14.8,16.8,B4,32,60622,14,14,113,2006,Midday,In-state,PAS
Edgewater,Other N/NW Side,Far North Side,33385,9.2,9.7,18.2,E1,48,60660,24,24,163,2004,Midday,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,46,60613,19,23,112,2008,Midday,In-state,PAS
South Shore,Other S/SE/SW Side,South Side,19398,20,14,31.1,SS,7,60649,4,4,10,2005,Overnight,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,29,60644,15,498,10,2007,Midday,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WT,36,60622,12,498,113,2006,Morning,Out-of-state,PAS
South Shore,Other S/SE/SW Side,South Side,19398,20,14,31.1,SS,7,60649,4,4,10,2007,Evening,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,UC,27,60612,12,0,113,1998,Morning,In-state,PAS
Hyde Park,Other S/SE/SW Side,South Side,39056,8.4,4.3,18.4,HP2,5,60637,2,0,113,1997,Morning,In-state,PAS
Bridgeport,Other S/SE/SW Side,South Side,22694,13.7,22.2,18.9,B3,11,60608,9,502,44,2016,AfterWork,In-state,TRK
Hyde Park,Other S/SE/SW Side,South Side,39056,8.4,4.3,18.4,HP2,4,60615,2,4,1,2000,Evening,Out-of-state,PAS
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,24,60623,10,10,123,2000,Overnight,In-state,PAS
Uptown,Other N/NW Side,Far North Side,35787,8.9,11.8,24,U,48,60640,20,20,123,2005,Morning,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,LP,43,60614,19,502,26,2010,Midday,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,B2,44,60657,19,23,123,2009,Morning,In-state,PAS
Edgewater,Other N/NW Side,Far North Side,33385,9.2,9.7,18.2,E1,48,60660,24,24,44,2007,Overnight,In-state,PAS
West Pullman,Other S/SE/SW Side,Far Southeast Side,16563,19.4,20.5,25.9,WP1,9,60628,5,5,5,2016,Evening,In-state,TMP
Portage Park,Other N/NW Side,Northwest Side,24336,12.6,19.3,11.6,PP,30,60641,17,498,6,2006,Morning,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,27,60642,18,18,3,2000,AfterWork,Out-of-state,PAS
Greater Grand Crossing,Other S/SE/SW Side,South Side,17285,23,16.5,29.6,GC1,6,60621,7,153,123,2009,Midday,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,42,60654,18,498,79,2003,Midday,In-state,TMP
Rogers Park,Other N/NW Side,Far North Side,23939,8.7,18.2,23.6,RP,49,60626,24,24,113,2000,Morning,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,GC2,2,60610,18,0,79,1998,AfterWork,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,S,2,60611,18,152,105,2003,Midday,In-state,PAS
Roseland,Other S/SE/SW Side,Far Southeast Side,17949,20.3,16.9,19.8,R2,9,60628,5,5,10,2005,Overnight,In-state,PAS
West Ridge,Other N/NW Side,Far North Side,23040,8.8,20.8,17.2,WR,50,60645,24,498,6,2014,Morning,In-state,PAS
Greater Grand Crossing,Other S/SE/SW Side,South Side,17285,23,16.5,29.6,GC1,8,60619,6,6,5,2017,Evening,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,GC2,43,60610,18,18,1,2015,Morning,In-state,PAS
Avondale,Other N/NW Side,North Side,20039,9.2,24.7,15.3,A4,35,60618,14,14,1,2001,Overnight,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,498,44,2010,AfterWork,In-state,PAS
South Shore,Other S/SE/SW Side,South Side,19398,20,14,31.1,SS,5,60649,3,498,185,2016,Midday,In-state,PAS
Lower West Side,Other W Side,West Side,16444,15.8,40.7,25.8,LW,25,60608,12,10,154,2004,Overnight,In-state,PAS
New City,Other S/SE/SW Side,Southwest Side,12765,23,41.5,29,NC1,16,60609,9,9,123,2003,Morning,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,LP,2,60614,18,502,1,2017,AfterWork,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,502,163,2008,AfterWork,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,29,60644,15,498,10,2013,Morning,Out-of-state,Other
Albany Park,Other N/NW Side,Far North Side,21323,10,32.9,19.2,AP2,33,60625,17,17,144,2007,Morning,In-state,TRK
Logan Square,Logan Square,North Side,31908,8.2,14.8,16.8,LS2,26,60647,14,14,105,2011,AfterWork,In-state,PAS
Uptown,Other N/NW Side,Far North Side,35787,8.9,11.8,24,U,46,60640,19,498,1,2005,Midday,In-state,PAS
Portage Park,Other N/NW Side,Northwest Side,24336,12.6,19.3,11.6,PP,31,60641,16,498,44,2008,Morning,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,46,60657,19,23,1,2000,Midday,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,25,60623,10,10,185,2014,Overnight,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,498,44,2012,Midday,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,4,60605,1,1,105,2005,Midday,In-state,PAS
Mckinley Park,Other S/SE/SW Side,Southwest Side,16954,13.4,32.9,18.7,MP1,12,60609,9,9,1,2004,Overnight,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,502,65,2018,Evening,Out-of-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,LI,25,60608,12,3,10,2004,Overnight,In-state,PAS
